# File: A_CTax.csv,,,,,,,,,,,,,,,,,,,,,,
# Title: Carbon taxes by region,,,,,,,,,,,,,,,,,,,,,,
# Units: 1990$/tC,,,,,,,,,,,,,,,,,,,,,,
# Comments: link.type needs to correspoond to a link.type in A_Ctax_Link; give different ghgpolicy names for different regions if not linked; market.overwrite writes the region name to the market name,,,,,,,,,,,,,,,,,,,,,,
# Leave tax empty for all but 1 linked regions (same ghgpolicy),,,,,,,,,,,,,,,,,,,,,,
# Column types: cccciinnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,
xml,link.type,market,ghgpolicy,year.fillout,market.overwrite,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
price_nonco2_mac_LTT.xml,,Argentina,nonCO2,,,4.67437,72.2947,144.243,196.87,318.719,420.287,451.243,451.243,451.243,451.243,451.243,451.243,451.243,451.243,451.243,451.243,451.243
price_nonco2_mac_LTT.xml,,Australia_NZ,nonCO2,,,2.51E-05,105.841,216.022,329.672,393.536,463.159,499.737,505.694,505.694,505.694,505.694,505.694,505.694,505.694,505.694,505.694,505.694
price_nonco2_mac_LTT.xml,,Brazil,nonCO2,,,0.00499289,14.995,32.3024,92.3007,135.123,247.728,329.865,357.525,383.436,393.754,395.824,395.824,395.824,395.824,395.824,395.824,395.824
price_nonco2_mac_LTT.xml,,Canada,nonCO2,,,13.9242,160.21,308.591,314.937,316.707,344.062,397.696,430.645,475.571,511.782,532.973,532.973,532.973,532.973,532.973,532.973,532.973
price_nonco2_mac_LTT.xml,,Central America and Caribbean,nonCO2,,,0,58.8763,133.556,151.9957061,172.6472916,196.4620602,223.5309338,254.1796117,288.7682585,328.2378063,372.3145961,421.5043206,476.6715421,538.6124997,605.6544211,678.3132304,759.4632549
price_nonco2_mac_LTT.xml,,Central Asia,nonCO2,,,0,61.134,90.6708,165.758,237.989,321.517,389.288,435.002,455.204,424.349,411.202,418.176,425.741,429.644,432.48,434.864,431.439
price_nonco2_mac_LTT.xml,,China,nonCO2,,,10,35,60,127.667,170.623,214.713,301.193,433.624,485.454,369.301,342.979,333.749,339.079,350.304,358.587,381.917,386.867
price_nonco2_mac_LTT.xml,,Colombia,nonCO2,,,0,150,245.082,264.0713571,280.8867298,296.7142043,312.3500341,327.5984914,342.2149208,378.7950014,417.9443068,460.3942765,510.1520187,568.5660496,630.8667337,696.0680687,765.2249273
price_nonco2_mac_LTT.xml,,EU,nonCO2,,,110.102,220.339,257.719,274.6634378,295.4279512,318.8578443,344.5220704,372.7645835,404.314041,438.8316999,474.9668276,510.4071249,548.271524,590.2044829,635.1230325,684.2092778,737.8436606
price_nonco2_mac_LTT.xml,,Europe_Eastern,nonCO2,,,0,19.4811,47.3769,85.7326,115.533,139.758,146.158,164.984,188.482,208.208,247.483,296.289,345.598,387.469,435.741,477.059,504.278
price_nonco2_mac_LTT.xml,,Europe_Non_EU,nonCO2,,,1.33697,41.9902,43.9087,119.326,293.643,406.826,489.841,555.426,572.889,562.171,573.288,581.052,598.516,620.256,622.872,617.16,582.328
